"data","kraj","teryt","ludnosc","zakazenia","zakazenia.10.tys","zgony","zgony.Covid","zgony.inne","zgony.10.tys","srednia","srednia.100.tys"
2020-12-22,"Polska","0000",38382576,7192,1.87376688839227,309,72,237,0.080505279270469,9586.57142857143,24.9763627865191
2020-12-21,"Polska","0000",38382576,4633,1.20705811928829,77,34,43,0.0200611860965246,9545.85714285714,24.8702878693112
2020-12-20,"Polska","0000",38382576,8594,2.23903679627965,143,39,104,0.0372564884649743,9583.42857142857,24.9681745472961
2020-12-19,"Polska","0000",38382576,11267,2.93544654220186,483,108,375,0.125838349150927,9638.14285714286,25.1107243483159
2020-12-18,"Polska","0000",38382576,11013,2.86927068157176,426,122,304,0.110987860741812,9671,25.1963286674662
2020-12-17,"Polska","0000",38382576,11953,3.11417347287999,431,93,338,0.112290535163664,9970.57142857143,25.9768167425017
2020-12-16,"Polska","0000",38382576,12454,3.24470144994958,605,155,450,0.157623605044122,10227.1428571429,26.6452748172579
2020-12-15,"Polska","0000",38382576,6907,1.7995144463467,349,77,272,0.090926674645287,10186.2857142857,26.5388277073579
2020-12-14,"Polska","0000",38382576,4896,1.27557879387772,96,40,56,0.0250113488995632,10387,27.0617584395586
2020-12-13,"Polska","0000",38382576,8977,2.33882165699353,188,49,139,0.0489805582616446,10319.4285714286,26.8857112962626
2020-12-12,"Polska","0000",38382576,11497,2.99536956560706,502,131,371,0.130788511953966,10347.8571428571,26.9597776419622
2020-12-11,"Polska","0000",38382576,13110,3.4156123340966,544,132,412,0.141730977097525,10481.1428571429,27.3070334235588
2020-12-10,"Polska","0000",38382576,13749,3.58209412520931,470,113,357,0.122451395654111,10499.5714285714,27.3550462808214
2020-12-09,"Polska","0000",38382576,12168,3.17018847301963,568,133,435,0.147983814322415,10655.1428571429,27.7603641223634
2020-12-08,"Polska","0000",38382576,8312,2.16556595888718,411,94,317,0.107079837476255,10896.1428571429,28.3882531936962
2020-12-07,"Polska","0000",38382576,4423,1.1523457935705,92,10,82,0.0239692093620814,11009.4285714286,28.6834019984187
2020-12-06,"Polska","0000",38382576,9176,2.39066809898325,228,42,186,0.0594019536364625,11196.5714285714,29.1709744248834
2020-12-05,"Polska","0000",38382576,12430,3.23844861272469,502,104,398,0.130788511953966,11526.1428571429,30.02962296523
2020-12-04,"Polska","0000",38382576,13239,3.44922133418038,531,110,421,0.138344023600709,11918.7142857143,31.05240848273
2020-12-03,"Polska","0000",38382576,14838,3.86581661428873,620,109,510,0.161531628309679,12464.5714285714,32.4745567587007
2020-12-02,"Polska","0000",38382576,13855,3.60971082295258,609,89,520,0.158665744581604,12728.7142857143,33.1627410461306
2020-12-01,"Polska","0000",38382576,9105,2.37217012219295,449,68,381,0.116980163082332,12944,33.723635432911
2020-11-30,"Polska","0000",38382576,5733,1.49364649209579,121,21,100,0.0315247210088244,13091.7142857143,34.1084826763954
2020-11-29,"Polska","0000",38382576,11483,2.99172207722587,283,46,237,0.0737313722768373,NA,NA
2020-11-28,"Polska","0000",38382576,15178,3.95439847497469,599,85,514,0.156060395737899,NA,NA
2020-11-27,"Polska","0000",38382576,17060,4.44472512735987,579,112,467,0.15084969805049,NA,NA
2020-11-26,"Polska","0000",38382576,16687,4.34754561548969,580,78,502,0.151110232934861,NA,NA
2020-11-25,"Polska","0000",38382576,15362,4.00233689369885,674,152,522,0.175600512065683,NA,NA
2020-11-24,"Polska","0000",38382576,10139,2.64156319263199,540,55,485,0.140688837560043,NA,NA
