"data","wojewodztwo","teryt","KTS.powiat","powiat","ludnosc","zakazenia","zakazenia.10.tys","zgony","zgony.Covid","zgony.inne","zgony.10.tys","srednia","srednia.100.tys"
2020-12-01,"dolnośląskie","0201","030210101000","bolesławiecki",90103,51,5.66018889493136,1,0,1,0.110984095979046,39.2857142857143,43.600894848911
2020-12-01,"dolnośląskie","0202","030210302000","dzierżoniowski",100813,14,1.38870978941208,4,0,4,0.396774225546309,24.1428571428571,23.9481586133308
2020-12-01,"dolnośląskie","0203","030210203000","głogowski",89102,19,2.13238760072726,4,0,4,0.448923705416265,36.8571428571429,41.3651128562129
2020-12-01,"dolnośląskie","0204","030210204000","górowski",34870,19,5.44880986521365,0,0,0,0,15.2857142857143,43.8362898930722
2020-12-01,"dolnośląskie","0205","030210105000","jaworski",50116,34,6.7842605156038,1,0,1,0.199537073988347,19.1428571428571,38.1970970206264
2020-12-01,"dolnośląskie","0206","030210106000","jeleniogórski",63591,1,0.157254957462534,5,2,3,0.78627478731267,19.5714285714286,30.7770416748102
2020-12-01,"dolnośląskie","0207","030210107000","kamiennogórski",43239,3,0.693818080899188,0,0,0,0,10.8571428571429,25.109606737304
2020-12-01,"dolnośląskie","0208","030210308000","kłodzki",157996,15,0.94939112382592,2,0,2,0.126585483176789,39.2857142857143,24.8650056240122
2020-12-01,"dolnośląskie","0209","030210209000","legnicki",55166,15,2.71906609143313,3,0,3,0.543813218286626,25.2857142857143,45.8356855413013
2020-12-01,"dolnośląskie","0210","030210110000","lubański",54254,7,1.29022744866738,0,0,0,0,19.5714285714286,36.0737062178431
2020-12-01,"dolnośląskie","0211","030210211000","lubiński",106150,43,4.05087140838436,0,0,0,0,31.5714285714286,29.7422784469417
2020-12-01,"dolnośląskie","0212","030210112000","lwówecki",45925,14,3.04844855743059,2,0,2,0.435492651061513,14.1428571428571,30.7955517536356
2020-12-01,"dolnośląskie","0213","030210413000","milicki",36999,10,2.70277575069596,2,0,2,0.540555150139193,13,35.1360847590475
2020-12-01,"dolnośląskie","0214","030210414000","oleśnicki",107269,19,1.77124798404012,4,0,4,0.3728943124295,39.5714285714286,36.8899016224898
2020-12-01,"dolnośląskie","0215","030210415000","oławski",76752,9,1.17260787992495,1,0,1,0.130289764436106,32.5714285714286,42.4372375591888
2020-12-01,"dolnośląskie","0216","030210216000","polkowicki",63065,12,1.90279869975422,0,0,0,0,17.5714285714286,27.8624095321154
2020-12-01,"dolnośląskie","0217","030210417000","strzeliński",43570,7,1.60661005278862,1,1,0,0.229515721826945,14,32.1322010557723
2020-12-01,"dolnośląskie","0218","030210418000","średzki",55079,35,6.3545089780134,2,0,2,0.363114798743623,24.4285714285714,44.3518789893996
2020-12-01,"dolnośląskie","0219","030210319000","świdnicki",156921,62,3.95103268523652,2,0,2,0.127452667265694,42.1428571428571,26.8560977452713
2020-12-01,"dolnośląskie","0220","030210420000","trzebnicki",85253,13,1.52487302499619,2,0,2,0.234595849999414,29.5714285714286,34.6866721070561
2020-12-01,"dolnośląskie","0221","030210321000","wałbrzyski",55611,10,1.79820539101976,0,0,0,0,14.4285714285714,25.9455349275709
2020-12-01,"dolnośląskie","0222","030210422000","wołowski",46818,7,1.49515143748131,0,0,0,0,18.5714285714286,39.6672830352184
2020-12-01,"dolnośląskie","0223","030210423000","wrocławski",151385,45,2.97255342339069,2,0,2,0.132113485484031,55.4285714285714,36.6143088341457
2020-12-01,"dolnośląskie","0224","030210324000","ząbkowicki",64802,9,1.38884602327089,1,0,1,0.154316224807876,14,21.6042714731027
2020-12-01,"dolnośląskie","0225","030210125000","zgorzelecki",89188,19,2.13033143472216,0,0,0,0,27.8571428571429,31.2341826895354
